LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,TOTAL_PRECIPITATION_CALGARY,MEAN_TEMPERATURE_EDMONTON,TOTAL_PRECIPITATION_EDMONTON,MEAN_TEMPERATURE_HALIFAX,TOTAL_PRECIPITATION_HALIFAX,MEAN_TEMPERATURE_MONCTON,TOTAL_PRECIPITATION_MONCTON,MEAN_TEMPERATURE_MONTREAL,TOTAL_PRECIPITATION_MONTREAL,MEAN_TEMPERATURE_OTTAWA,TOTAL_PRECIPITATION_OTTAWA,MEAN_TEMPERATURE_QUEBEC,TOTAL_PRECIPITATION_QUEBEC,MEAN_TEMPERATURE_SASKATOON,TOTAL_PRECIPITATION_SASKATOON,MEAN_TEMPERATURE_STJOHNS,TOTAL_PRECIPITATION_STJOHNS,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_TORONTO,MEAN_TEMPERATURE_VANCOUVER,TOTAL_PRECIPITATION_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,TOTAL_PRECIPITATION_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_WINNIPEG
19/01/1940 0:00,-12.8,0.3,,,,,-13.7,0,,,-12.2,0,,,-18.1,0,,,-14.7,0,2.5,0,,,-16.1,0
20/01/1940 0:00,-17.3,0,,,,,-14.2,0,,,-13.3,2.5,,,-18.9,0,,,-10.6,0,4.2,0,,,-12.5,0.3
21/01/1940 0:00,-11.4,0,,,,,-13.1,5.6,,,-11.7,1.8,,,-17.5,0,,,-5.6,0.3,4.2,0,,,-11.7,0
22/01/1940 0:00,-16.7,0,,,,,-11.7,0.3,,,-16.7,0,,,-21.7,0,,,-6.7,1.3,0.9,0,,,-12.8,1.3
23/01/1940 0:00,-21.1,0,,,,,-11.7,0,,,-21.2,0,,,-23.9,0,,,-10,0,3.4,0,,,-18.7,0
24/01/1940 0:00,-22.2,0,,,,,-11.9,0,,,-17,1.3,,,-21.7,0,,,-10.8,0.5,3.3,2,,,-21.4,0.5
25/01/1940 0:00,-24.5,0,,,,,-5,14,,,-13.1,0.8,,,-25.3,0,,,-9.2,0,1.9,0,,,-18.1,0
26/01/1940 0:00,-10.6,0,,,,,-6.1,0,,,-16.7,0,,,-21.7,0,,,-13.9,0,5.6,9.4,,,-17.2,0
27/01/1940 0:00,2.2,0,,,,,-10.3,0.8,,,-16.4,0,,,-11.4,0,,,-16.4,0,8.7,26.2,,,-13.9,0
28/01/1940 0:00,7.3,0,,,,,-10.6,0.3,,,-16.7,0,,,-12.2,0,,,-9.2,1,9.5,14.7,,,-12.3,0
29/01/1940 0:00,4.2,0,,,,,-7.3,0,,,-19.5,0,,,-3.4,0,,,-5.6,0,10,0,,,-15.8,0
30/01/1940 0:00,0.6,0,,,,,-7.5,0,,,-16.1,0,,,-0.8,0,,,-12,0,4.7,0,,,-5.3,1.8
31/01/1940 0:00,-4.2,0,,,,,-11.7,0,,,-12.3,0,,,-9.8,0,,,-10,0,4.7,0,,,-8.1,6.4
01/02/1940 0:00,-10.6,0.3,,,,,-7,0,,,-13.6,2,,,-13.4,0,,,-7,5.1,2.8,0,,,-10.3,0
02/02/1940 0:00,-11.4,0.3,,,,,-11.2,0,,,-14.2,0,,,-12,0.3,,,-12,0,2.2,0,,,-15,0
03/02/1940 0:00,-12.5,0.3,,,,,-14.4,1.3,,,-12,0,,,-8.9,0.3,,,-5,0,3.6,2.3,,,-8.9,3
04/02/1940 0:00,-11.7,0,,,,,-14.2,0,,,-12.5,0,,,-7,0,,,-2.2,0,6.4,9.9,,,-5.9,0
05/02/1940 0:00,-8.9,0,,,,,-11.1,0,,,-8.9,0,,,-9.2,0.3,,,-2.5,0,7.5,6.4,,,-5,0.5
06/02/1940 0:00,-8.9,5.6,,,,,-10.9,2.5,,,-7.8,7.9,,,-11.4,0,,,-1.1,6.4,7,32,,,-9.7,0.5
07/02/1940 0:00,-7.8,1.3,,,,,-3.9,0,,,-1.4,0.5,,,-15.6,0,,,-0.8,0,6.7,0.8,,,-15,0
08/02/1940 0:00,-4.2,0,,,,,-5,0.8,,,-8.9,3.6,,,-17.5,0,,,-2.2,0.8,7,14.5,,,-20.3,0
09/02/1940 0:00,3.6,0,,,,,-8.4,0,,,-16.4,0,,,-4.2,0,,,-12,0.3,7.5,11.7,,,-11.1,0
10/02/1940 0:00,-3.1,0.5,,,,,-13.6,0,,,-11.7,7.6,,,-3.4,2,,,-6.1,1,5.6,2,,,-7.3,0.8
11/02/1940 0:00,-2.5,0,,,,,-0.9,14,,,-6.4,0.5,,,-4.5,0,,,-3.9,0,3.6,1.3,,,-7.3,0.5
12/02/1940 0:00,-7.5,0,,,,,-6.7,0,,,-12.2,3.8,,,-7,0,,,-1.4,0.3,5.9,17.8,,,-12.5,0
13/02/1940 0:00,-4.2,0,,,,,-12.5,0,,,-16.7,0,,,-11.1,0,,,-8.4,0,6.1,2.8,,,-6.1,0
14/02/1940 0:00,-3.4,0,,,,,-9.2,0,,,-14.2,0,,,-5.6,2.5,,,-8.1,0,4.8,0,,,-5.6,0.8
15/02/1940 0:00,-7.2,0,,,,,-5.9,0,,,-10.3,0,,,-11.7,0,,,-8.3,0,5.3,4.8,,,-4.2,3
16/02/1940 0:00,-5.6,0,,,,,-2.2,11.7,,,-10.6,0,,,-14.2,0,,,-10.3,0,4.8,8.6,,,-7.8,1.3
17/02/1940 0:00,-7.8,0,,,,,-0.8,3,,,-5.9,0,,,-11.1,0,,,-6.1,0,7.5,0.8,,,-15.3,0
18/02/1940 0:00,-8.1,6.1,,,,,1.4,0,,,-9.8,0,,,-5.3,0.3,,,-5,1,7.2,1.3,,,-11.4,0
19/02/1940 0:00,-10.8,2,,,,,-3.6,0,,,-0.3,0,,,-10.6,1,,,0.3,7.4,6.1,0,,,-6.4,0.8
20/02/1940 0:00,-12,0.8,,,,,-5.3,15.2,,,-0.3,0,,,-12,3.8,,,0.9,0,5.6,0,,,-12.8,1.3
21/02/1940 0:00,-10.6,2.3,,,,,-4.2,0,,,-9.2,0,,,-15.9,0,,,-7,0,3.1,0,,,-11.1,0
22/02/1940 0:00,-19.5,1.5,,,,,-11.4,0,,,-11.4,0,,,-27.3,0,,,-6.4,0,4.5,0,,,-21.7,0
23/02/1940 0:00,-23.1,0.3,,,,,-11.1,0,,,-9.5,0.5,,,-29.7,0,,,-5,2.5,1.4,6.9,,,-24.8,0
24/02/1940 0:00,-25.6,0,,,,,-7.8,0,,,-14.8,10.2,,,-27.5,0,,,-3.1,5.1,5,0,,,-23.1,0
25/02/1940 0:00,-21.7,1,,,,,-4.8,11.4,,,-13.4,0,,,-20.3,5.1,,,-15,0,3.1,9.1,,,-18.6,0
26/02/1940 0:00,-23.1,0,,,,,-11.9,2,,,-16.7,0,,,-15.9,0.5,,,-14.5,0,5.3,2.5,,,-16.4,4.6
27/02/1940 0:00,-22,0,,,,,-10.6,0,,,-17.8,0.3,,,-17.5,0,,,-11.9,2.5,6.7,0.8,,,-16.7,0.3
28/02/1940 0:00,-17.2,0.3,,,,,-12.8,0,,,-10.6,0,,,-18.4,3.8,,,-6.4,0,7.2,2.8,,,-19.2,0.3
29/02/1940 0:00,-6.4,0,,,,,-9.2,0,,,-10.6,0.3,,,-11.7,0,,,-7.5,1.8,10.3,2,,,-14.7,0
01/03/1940 0:00,1.1,0,,,,,-9.5,0,,,-13.1,0,,,-8.1,0,,,-8.1,0,8.9,13.5,,,-12.5,0
02/03/1940 0:00,2.5,0.3,,,,,-15.9,0,,,-15.3,0,,,-6.7,0,,,-7.8,0,6.7,0,,,-5.9,0
03/03/1940 0:00,-2.8,0,,,,,-14.2,0,,,-4.7,4.3,,,-4.2,0,,,-4.4,8.6,8.1,7.4,,,-6.1,0
04/03/1940 0:00,5,0.5,,,,,-8.6,0,,,-2.3,13.5,,,-2.8,0,,,0.3,6.1,8.4,15,,,-7.2,0
05/03/1940 0:00,2.3,0.3,,,,,-0.3,9.9,,,-2,4.6,,,-2.3,2.8,,,-0.3,0,7,0,,,-2.2,0
06/03/1940 0:00,3.1,0,,,,,0.9,11.7,,,-2.5,7.1,,,-1.4,0.3,,,-3.1,0.3,8.1,8.4,,,0,3
07/03/1940 0:00,1.4,2.5,,,,,0.9,3.8,,,-5.3,4.6,,,-2.2,0,,,-5.3,0,6.4,8.9,,,-2.5,0
08/03/1940 0:00,-2.5,2.3,,,,,1.1,1.8,,,-5,0.3,,,-3.9,0,,,-5.3,0,6.7,1.5,,,-3.6,0
09/03/1940 0:00,-6.4,2.5,,,,,-0.9,29.5,,,-8.1,3.8,,,-4.5,0,,,-4.7,0.5,5.8,1.5,,,-7.8,0
10/03/1940 0:00,-10.6,0.5,,,,,0,0,,,-11.7,1.3,,,-9.5,0.5,,,-10,0,6.1,0.8,,,-11.7,0
11/03/1940 0:00,-11.4,0.3,,,,,-4.5,4.8,,,-13.3,0,,,-7.5,0,,,-12.2,0,6.1,0,,,-10,0
12/03/1940 0:00,-6.7,0,,,,,-7.8,1,,,-13.6,0,,,-12,0,,,-12.3,0,6.1,0,,,-8.1,0
13/03/1940 0:00,-2.5,0,,,,,-4.2,0.3,,,-12,0,,,-13.6,0,,,-7.2,2.5,7.5,4.6,,,-10,0
14/03/1940 0:00,3.1,0,,,,,1.9,0,,,-6.4,13.2,,,-8.6,0,,,-1.7,11.2,8.4,10.2,,,-9.5,0
15/03/1940 0:00,7.5,0,,,,,-0.6,0,,,-4.5,0.5,,,-6.1,0.3,,,-7.2,0.3,8.9,5.6,,,-6.4,0
16/03/1940 0:00,2.8,1.3,,,,,-1.1,0.8,,,-6.4,3.8,,,0,0,,,-5.8,0,8.6,0,,,-6.7,0
17/03/1940 0:00,0.6,0,,,,,-2,0,,,-8.9,0,,,-0.3,0,,,-2.3,0,6.7,0,,,-1.4,1
18/03/1940 0:00,1.7,0.3,,,,,-3.1,0,,,-13.9,4.6,,,-1.4,5.3,,,-5.6,3.3,7,0,,,-3.6,0.5
19/03/1940 0:00,-5.8,0.5,,,,,-4.5,1.3,,,-5,1,,,-7.8,1,,,-1.1,0,5.9,0,,,-10,0
20/03/1940 0:00,-3.1,0.5,,,,,-0.3,0.8,,,-7.5,5.1,,,-15.3,0,,,-6.1,7.4,6.7,0,,,-15,0
21/03/1940 0:00,-5.3,2.5,,,,,-0.3,0.3,,,-7.5,4.6,,,-15.8,0,,,-7.8,0,5.6,0,,,-18.1,0
22/03/1940 0:00,-12.5,1.3,,,,,-5.6,10.2,,,-7.8,0.5,,,-16.4,0,,,-7.8,0,6.7,0,,,-18.9,0
23/03/1940 0:00,-12,1,,,,,-5.3,0,,,-16.4,0,,,-17.2,0,,,-14.5,0,8.1,4.3,,,-18.1,0
24/03/1940 0:00,-10.9,0.5,,,,,-11.7,0,,,-13.9,0,,,-16.4,0,,,-12.3,0,10,0,,,-15.6,0
25/03/1940 0:00,-8.9,2.3,,,,,-7.5,0.3,,,-8.4,0,,,-13.6,0,,,-8.9,0,8.9,2.5,,,-13.7,0
26/03/1940 0:00,-8.1,0.3,,,,,-5.6,0,,,-2.8,0,,,-13.1,0,,,-5.3,3.8,9.7,23.9,,,-11.4,0
27/03/1940 0:00,-4.7,1.3,,,,,-4.8,0,,,-5.8,0,,,-8.9,8.9,,,-1.4,4.3,10.3,7.6,,,-8.1,0
28/03/1940 0:00,-4.2,0,,,,,-3.9,0,,,-5,0,,,-3.6,0.3,,,-3.4,0,10.3,0,,,-2.5,11.9
29/03/1940 0:00,2.2,0,,,,,-1.7,0,,,-2.8,0,,,-5.6,0,,,2.8,0,9.2,7.6,,,-3.4,0
30/03/1940 0:00,0,0,,,,,2.2,10.4,,,2.5,0,,,-7.5,0,,,4.5,0,11.1,0.3,,,-3.1,0
31/03/1940 0:00,-2.2,0,,,,,2.5,14,,,2.5,0,,,-2.5,0,,,3.6,0,8.4,0,,,-5.6,0
01/04/1940 0:00,-3.1,6.1,,,,,0,0,,,0.9,0,,,-1.1,0.3,,,1.4,0,7.8,0,,,-3.9,0
02/04/1940 0:00,-3.9,7.1,,,,,-1.4,0,,,-2.5,0,,,0.6,1.5,,,1.4,0,7.5,0,,,-0.3,0
03/04/1940 0:00,-4.5,1.8,,,,,-0.3,0,,,-1.7,0,,,0.3,0,,,1.4,7.6,7.5,0,,,0,8.9
04/04/1940 0:00,-3.7,0.5,,,,,0,2.5,,,0.6,2.5,,,-0.9,0,,,4.5,0.5,8.4,0,,,-1.4,0
05/04/1940 0:00,-3.6,0,,,,,-2,1.3,,,-0.6,0,,,-3.1,0,,,0.9,0,10.6,0,,,-0.8,0
06/04/1940 0:00,-2.3,0,,,,,-4.5,0,,,0,0,,,-2,0,,,4.5,0,12,8.6,,,0.6,3.8
07/04/1940 0:00,0.3,3,,,,,-3.9,0,,,0,0,,,-0.6,0,,,3.9,4.6,10.3,3,,,4.5,0.3
08/04/1940 0:00,-3.9,1,,,,,0.8,0,,,0.6,11.4,,,-2.3,0.5,,,7.5,15.5,9.5,4.3,,,-2.8,0
09/04/1940 0:00,-5.6,6.4,,,,,4.2,0.3,,,2.8,1.3,,,-3.6,0,,,3.9,0,12,0,,,-3.6,0
10/04/1940 0:00,-8.9,6.4,,,,,4.2,0,,,0.8,0,,,-12.2,0,,,2,0,10.3,0,,,-9.8,0
11/04/1940 0:00,-7.5,0,,,,,2,0,,,2.5,11.2,,,-10.3,0,,,4.5,6.4,11.7,0,,,-6.9,0
12/04/1940 0:00,6.1,0,,,,,3.6,0,,,-5.3,2.5,,,-1.4,0,,,-4.8,0,15,2.8,,,-2.5,0
13/04/1940 0:00,13.1,0,,,,,6.1,12.7,,,-5.3,0.3,,,5.9,0,,,-4.5,0,13.9,0,,,0.6,0
14/04/1940 0:00,5.9,0.8,,,,,0.9,0,,,-3.6,0,,,5.9,2.8,,,-3.4,0,10.3,0,,,6.4,0
15/04/1940 0:00,0.6,0,,,,,1.7,0,,,-0.8,11.4,,,0.9,0,,,1.2,0,8.9,0,,,2.5,0
16/04/1940 0:00,3.9,0,,,,,2.5,1.3,,,3.9,0,,,1.1,0,,,4.7,0,9.7,2.8,,,0.9,0
17/04/1940 0:00,9.2,0,,,,,3.6,0,,,4.4,10.2,,,7,0,,,4.5,10.9,11.1,1,,,2.5,0
18/04/1940 0:00,10.3,0.5,,,,,2.5,12.2,,,5.6,11.7,,,6.1,0,,,9.2,4.1,12.3,0,,,10,0
19/04/1940 0:00,6.2,0,,,,,3.9,0,,,5.9,0,,,11.1,0,,,5,0,10.6,0,,,9.5,0
20/04/1940 0:00,1.4,29.2,,,,,2.5,0,,,3.6,2,,,10.6,0,,,6.4,0,11.4,0,,,10.3,0
21/04/1940 0:00,0.6,10.4,,,,,0.3,12.7,,,2.5,8.1,,,6.4,0,,,6.4,0,8.9,0,,,10.6,0.3
22/04/1940 0:00,1.4,1.5,,,,,-0.6,14,,,3.1,0,,,3.1,0,,,3.3,0,12.8,0,,,3.1,0
23/04/1940 0:00,0.6,5.8,,,,,-0.6,3.8,,,4.8,0,,,5.3,0,,,5,0,13.1,6.1,,,2.8,0
24/04/1940 0:00,0.8,0.3,,,,,0,0,,,6.4,0,,,2.5,0,,,5.3,0,11.1,4.8,,,2,0
25/04/1940 0:00,0.6,0,,,,,-1.7,0,,,7.3,0.5,,,2.5,0,,,5.9,0.3,10.9,0,,,4.2,0
26/04/1940 0:00,4.2,0,,,,,2.8,0,,,6.1,0,,,5.8,0,,,6.7,0,12.5,4.1,,,7.8,0
27/04/1940 0:00,5,0,,,,,4.2,0,,,6.7,0,,,9.4,0,,,6.9,0,10.8,11.4,,,8.1,14
28/04/1940 0:00,8.1,0,,,,,3.6,0,,,7.8,0,,,7.5,0.5,,,7.2,0,10.6,0.3,,,8.4,13.2
29/04/1940 0:00,5.9,9.1,,,,,5.3,0,,,11.7,0,,,8.9,0,,,8.6,0,10.6,0,,,4.7,1.5
30/04/1940 0:00,3.9,0,,,,,11.7,0,,,16.1,6.9,,,6.1,0,,,13.9,1,9.2,17.5,,,1.7,0
01/05/1940 0:00,10.6,0,,,,,8.4,0,,,16.1,7.4,,,8.7,0,,,13.1,14.2,14.2,8.1,,,2.8,0
02/05/1940 0:00,13.4,0,,,,,7.3,0.3,,,9.7,12.4,,,11.1,1.5,,,6.1,2,12.5,1.8,,,5.6,0
03/05/1940 0:00,7.8,5.1,,,,,13.6,1.3,,,8.9,1.8,,,15.6,0,,,5.3,2.5,13.1,0,,,7,0.3
04/05/1940 0:00,5,0.8,,,,,13.4,2,,,9.8,0,,,10.6,0,,,7.5,0,10.6,7.4,,,16.1,0
05/05/1940 0:00,5.9,0.3,,,,,12.5,3.3,,,9.7,0.5,,,6.1,0,,,10,2.8,12.3,0,,,5.9,11.7
06/05/1940 0:00,8.6,3,,,,,9.5,0,,,12,1.5,,,7,0,,,16.2,0,12.5,0,,,3.4,0
07/05/1940 0:00,7.8,0,,,,,7.8,3.6,,,11.4,0,,,11.4,0.5,,,10.6,0,11.1,0.3,,,3.9,0
08/05/1940 0:00,9.8,0,,,,,2.5,0,,,9.2,0,,,11.7,0.3,,,8.4,0,13.6,5.6,,,8.1,0.3
09/05/1940 0:00,12.2,0,,,,,2.8,0.3,,,7.3,0,,,14.5,0,,,9.5,0,14.7,0,,,9.8,0
10/05/1940 0:00,16.1,0,,,,,3.6,0,,,9.8,0.8,,,15,0,,,10,0,15.6,1.3,,,10.6,0
11/05/1940 0:00,13.6,0,,,,,7.2,0,,,6.7,0,,,21.9,0,,,7.8,0,13.1,0,,,18.9,0
12/05/1940 0:00,9.2,3.8,,,,,8.7,9.7,,,6.1,0,,,12.2,0,,,6.2,11.9,11.4,0,,,18.6,0
13/05/1940 0:00,7.5,0,,,,,5.3,5.6,,,10.3,0,,,9.2,0,,,13.1,1.3,13.1,0.3,,,8.1,1.8
14/05/1940 0:00,9.5,0,,,,,8.6,0,,,11.4,1.5,,,7.8,0,,,13.1,0.5,14.8,1,,,6.4,0
15/05/1940 0:00,11.7,0,,,,,12,0,,,13.4,5.8,,,14.2,3.6,,,14.5,4.3,14.5,0,,,5.3,0
16/05/1940 0:00,7,3.3,,,,,13.9,0,,,15.6,12.2,,,15.3,0,,,9.5,4.1,13.9,0,,,9.5,0.3
17/05/1940 0:00,10.3,0,,,,,14.8,2.5,,,10.3,0,,,11.4,0.8,,,9.5,0.8,13.9,0,,,14.5,7.9
18/05/1940 0:00,15,0.5,,,,,15,0.5,,,11.2,0,,,12.8,0,,,10.9,0,14.7,1,,,12,2
19/05/1940 0:00,12.8,1.3,,,,,8.4,0,,,10.8,2.5,,,15,1.3,,,9.2,14.5,16.1,0,,,13.6,0
20/05/1940 0:00,11.7,0,,,,,4.7,8.6,,,18.1,0,,,13.1,0,,,13.9,0,12,0,,,14.2,0
21/05/1940 0:00,13.6,0,,,,,3.9,12.4,,,16.7,0,,,10.8,0,,,13.9,0,14.5,0,,,11.7,0
22/05/1940 0:00,15.9,0,,,,,6.7,0,,,18.9,8.1,,,18.9,0,,,15.9,11.7,15.9,0,,,11.4,0
23/05/1940 0:00,18.4,0,,,,,7.2,0,,,18.6,0.3,,,17.5,0,,,14.5,12.7,16.2,0,,,8.6,0
24/05/1940 0:00,18.4,0,,,,,12.3,0,,,17.3,0,,,14.7,0,,,11.1,25.9,13.9,0,,,9.2,0
25/05/1940 0:00,15,0,,,,,13.1,0,,,17.2,33.3,,,16.7,0,,,13.1,0,13.1,0,,,10.6,0
26/05/1940 0:00,10,3.8,,,,,15.3,0,,,19.2,3.3,,,16.7,0,,,15.9,7.1,10.6,0,,,12,0
27/05/1940 0:00,10,3.3,,,,,18.3,16.3,,,18.7,0,,,16.9,0,,,14.4,0,11.7,0,,,16.1,0
28/05/1940 0:00,10.6,0,,,,,9.8,1.3,,,18.4,16.8,,,19.2,0,,,14.5,0.3,12.3,0,,,17.8,0
29/05/1940 0:00,14.5,0,,,,,7.8,0,,,15.3,0,,,17.8,0,,,13.9,1,14.5,0,,,18.4,0
30/05/1940 0:00,14.7,2.3,,,,,13.7,0,,,15.6,0,,,19.5,23.6,,,15.6,0,14.2,13.5,,,18.9,0
31/05/1940 0:00,17,0,,,,,16.4,0,,,15.6,0,,,16.4,0,,,13.7,5.8,13.4,21.3,,,21.1,5.6
01/06/1940 0:00,7.8,3.3,,,,,14.2,1.3,,,18.1,0,,,13.4,0,,,13.7,0,14.7,0,,,21.1,0
02/06/1940 0:00,9.2,4.8,,,,,13.6,1.3,,,20.3,0,,,9.7,0.3,,,18.1,0,16.2,0,,,13.1,3.6
03/06/1940 0:00,11.4,0,,,,,16.7,0,,,21.9,2.5,,,14.2,0,,,21.1,0,14.5,0,,,11.7,0
04/06/1940 0:00,12,0,,,,,12.3,1,,,22.8,0,,,16.7,0,,,22.8,0,13.1,0,,,15,0
05/06/1940 0:00,10.3,0.3,,,,,14.7,7.4,,,23.4,0,,,14.5,0,,,23.4,0,13.9,0.3,,,18.6,3
06/06/1940 0:00,9.8,5.8,,,,,13.1,7.9,,,18.4,0,,,11.1,0,,,15,0,13.4,5.1,,,18.4,2.5
07/06/1940 0:00,8.6,9.7,,,,,10,0.8,,,15.9,2.5,,,12.5,3.3,,,17.8,1.3,15,0,,,12,0
08/06/1940 0:00,11.4,0,,,,,12.2,1,,,18.9,16.3,,,12,6.9,,,19.7,6.9,15,0,,,13.4,7.1
09/06/1940 0:00,12.8,0,,,,,11.7,7.6,,,16.1,0.3,,,13.7,0.5,,,18.1,0,16.7,0,,,15.3,14.7
10/06/1940 0:00,14.8,0,,,,,14.8,0,,,21.2,0,,,17.5,5.3,,,18.6,22.6,17,0,,,10.3,0
11/06/1940 0:00,16.7,0,,,,,15.3,0,,,19.2,0,,,17.5,0.3,,,21.4,0,18.9,0,,,18.9,15.7
12/06/1940 0:00,18.9,1.5,,,,,12.5,5.1,,,20,15.5,,,17.5,1.3,,,19.2,1.8,18.1,0,,,20.3,0
13/06/1940 0:00,18.6,0,,,,,13.6,18,,,21.1,0,,,18.9,0.8,,,19.8,0,17.5,0,,,12.8,2.3
14/06/1940 0:00,14.8,0,,,,,12,0,,,12.8,0,,,14.5,0,,,14.5,0,14.8,0,,,17.8,1.3
15/06/1940 0:00,14.4,0,,,,,13.9,2,,,19.5,0,,,14.5,4.3,,,18.1,0,16.4,0,,,16.4,0.5
16/06/1940 0:00,13.1,0,,,,,13.6,0,,,14.5,0,,,14.5,0,,,14.8,0,15.6,0,,,20.3,0
17/06/1940 0:00,14.2,0,,,,,13.6,0,,,19.5,0,,,16.2,0,,,,0,15.3,0,,,17.3,4.6
18/06/1940 0:00,13.6,0,,,,,18.1,0.3,,,22,1.3,,,12.5,0,,,22,7.9,16.1,0,,,13.6,0
19/06/1940 0:00,17,0,,,,,17.3,0.5,,,18.9,0,,,13.6,0,,,17,0,17,0,,,8.9,0
20/06/1940 0:00,17.5,11.4,,,,,14.2,0,,,10.9,0.8,,,17,7.4,,,8.3,0,14.5,0,,,10,0.3
21/06/1940 0:00,11.4,2,,,,,12.5,0,,,10.3,0,,,17.8,0,,,12.8,0,14.4,0,,,12.8,13
22/06/1940 0:00,12,0,,,,,11.9,1.5,,,12,0,,,14.8,0,,,11.1,0,14.5,0,,,13.6,8.6
23/06/1940 0:00,13.3,0,,,,,10.9,0.3,,,15.3,0,,,15.6,0,,,12,13.7,16.4,0,,,16.4,4.3
24/06/1940 0:00,15.3,0,,,,,10.6,0,,,13.1,4.1,,,17.8,0,,,14.2,2.5,18.1,0,,,15.6,0
25/06/1940 0:00,16.7,0,,,,,11.7,0,,,16.1,0,,,12.2,9.7,,,15.6,0,17.2,0,,,13.1,0
26/06/1940 0:00,13.4,1.3,,,,,13.9,5.3,,,14.2,8.9,,,13.6,21.1,,,13.9,4.8,14.4,0,,,14.5,1.5
27/06/1940 0:00,11.4,5.3,,,,,15.6,0,,,14.2,0.3,,,12.5,2.3,,,14.8,0,14.5,0,,,16.7,36.8
